BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3
true,191373,191373,191373,191373,true,191373,191373,191373,191373,true,191373,191373,191373,191373
true,213554,213554,213554,213554,true,136542,136542,136542,136542,true,136542,136542,136542,136542
true,197640,197640,197640,197640,true,153645,153645,159115,159115,true,153645,153645,153645,153645
true,220160,220160,220160,220160,true,122800,122800,122800,122800,true,122800,122800,122800,122800
true,78050,78050,78050,78050,true,78050,78050,78050,78050,true,78050,78050,78050,78050
true,464058,464058,464058,464058,true,277767,277767,302316,302316,true,220689,220689,220689,220689
true,125115,125115,125115,125115,true,102570,102570,102570,102570,true,102570,102570,102570,102570
true,250668,250668,250668,250668,true,174336,174336,174336,174336,true,174336,174336,174336,174336
true,74592,74592,74592,74592,true,65254,65254,65254,65254,true,65254,65254,65254,65254
true,245910,245910,245910,245910,true,205308,205308,205308,205308,true,205308,205308,205308,205308
true,337296,337296,337296,337296,true,249777,249777,249777,249777,true,249777,249777,249777,249777
true,121128,121128,121128,121128,true,63328,63328,63328,63328,true,63328,63328,63328,63328
true,262922,262922,262922,262922,true,262922,262922,262922,262922,true,262922,262922,262922,262922
true,171360,171360,171360,171360,true,122362,122362,122362,122362,true,116150,116150,116150,116150
true,136655,136655,136655,136655,true,136655,136655,136655,136655,true,136655,136655,136655,136655
true,381823,381823,381823,381823,true,267773,267773,274574,274574,true,223813,223813,223813,223813
true,104235,104235,104235,104235,true,77000,77000,80498,80498,true,77000,77000,77000,77000
true,189176,189176,189176,189176,true,121616,121616,121616,121616,true,121616,121616,121616,121616
true,288940,288940,288940,288940,true,225640,225640,225640,225640,true,225640,225640,225640,225640
true,55200,55200,55200,55200,true,46710,46710,46710,46710,true,46710,46710,46710,46710
true,259947,259947,259947,259947,true,178675,178675,178675,178675,true,178675,178675,178675,178675
true,502913,502913,502913,502913,true,337176,337176,337176,337176,true,337176,337176,337176,337176
true,242295,242295,242295,242295,true,173976,173976,173976,173976,true,173976,173976,173976,173976
true,105282,105282,105282,105282,true,72942,72942,72942,72942,true,72942,72942,72942,72942
true,232680,232680,232680,232680,true,155714,155714,155714,155714,true,155714,155714,155714,155714
true,64995,64995,64995,64995,true,35000,35000,35000,35000,true,35000,35000,35000,35000
true,315300,315300,315300,315300,true,217001,217001,228780,228780,true,214600,214600,214600,214600
true,617540,617540,617540,617540,true,473830,473830,473830,473830,true,378070,378070,378070,378070
true,67392,67392,67392,67392,true,57642,57642,57642,57642,true,57642,57642,57642,57642
true,164224,164224,164224,164224,true,137120,137120,137120,137120,true,137120,137120,137120,137120
true,463554,463554,463554,463554,true,259518,259518,259518,259518,true,231756,231756,231756,231756
true,216000,216000,216000,216000,true,146568,146568,146568,146568,true,146568,146568,146568,146568
true,101725,101725,101725,101725,true,94960,94960,94960,94960,true,94960,94960,94960,94960
true,275154,275154,275154,275154,true,181522,181522,181522,181522,true,119168,119168,119168,119168
true,80560,80560,80560,80560,true,43064,43064,43064,43064,true,43064,43064,43064,43064
true,111200,111200,111200,111200,true,85710,85710,85710,85710,true,85710,85710,85710,85710
true,218998,218998,218998,218998,true,140738,140738,140738,140738,true,106680,106680,106680,106680
true,506276,506276,506276,506276,true,331975,331975,331975,331975,true,240736,240736,240736,240736
true,350376,350376,350376,350376,true,237150,237150,237150,237150,true,229710,229710,229710,229710
true,290304,290304,290304,290304,true,187352,187352,187352,187352,true,187352,187352,187352,187352
true,206514,206514,206514,206514,true,154889,154889,162400,162400,true,154889,154889,154889,154889
true,306731,306731,306731,306731,true,279104,279104,279104,279104,true,279104,279104,279104,279104
true,51800,51800,51800,51800,true,45020,45020,45020,45020,true,45020,45020,45020,45020
true,779104,779104,779104,779104,true,505568,505568,505568,505568,true,390268,390268,390268,390268
true,444598,444598,444598,444598,true,294624,294624,294624,294624,true,294624,294624,294624,294624
true,121026,121026,121026,121026,true,87165,87165,87165,87165,true,87165,87165,87165,87165
true,225648,225648,225648,225648,true,152604,152604,152604,152604,true,152604,152604,152604,152604
true,106715,106715,106715,106715,true,57288,57288,57288,57288,true,57288,57288,57288,57288
true,301320,301320,301320,301320,true,251175,251175,251175,251175,true,251175,251175,251175,251175
true,90500,90500,90500,90500,true,90500,90500,90500,90500,true,90500,90500,90500,90500
true,273348,273348,273348,273348,true,185750,185750,215324,215324,true,185750,185750,185750,185750
true,167796,167796,167796,167796,true,103140,103140,114300,114300,true,80928,80928,80928,80928
true,224114,224114,224114,224114,true,172654,172654,190014,190014,true,158660,158660,158660,158660
true,200536,200536,200536,200536,true,112659,112659,112659,112659,true,112659,112659,112659,112659
true,231574,231574,231574,231574,true,168889,168889,168889,168889,true,168889,168889,168889,168889
true,254016,254016,254016,254016,true,190416,190416,197808,197808,true,190416,190416,190416,190416
true,492492,492492,492492,492492,true,389958,389958,416064,416064,true,389958,389958,389958,389958
true,195872,195872,195872,195872,true,121392,121392,121392,121392,true,121392,121392,121392,121392
true,343700,343700,343700,343700,true,239980,239980,239980,239980,true,239980,239980,239980,239980
true,213372,213372,213372,213372,true,147096,147096,147096,147096,true,147096,147096,147096,147096
true,231984,231984,231984,231984,true,150384,150384,188784,188784,true,150384,150384,150384,150384
true,69953,69953,69953,69953,true,69953,69953,69953,69953,true,69953,69953,69953,69953
true,241956,241956,241956,241956,true,211772,211772,217107,217107,true,211772,211772,211772,211772
true,172645,172645,172645,172645,true,154979,154979,154979,154979,true,154979,154979,154979,154979
true,111839,111839,111839,111839,true,69965,69965,69965,69965,true,69965,69965,69965,69965
true,70410,70410,70410,70410,true,41195,41195,41195,41195,true,36115,36115,36115,36115
true,255735,255735,255735,255735,true,172638,172638,172638,172638,true,172638,172638,172638,172638
true,120204,120204,120204,120204,true,77959,77959,77959,77959,true,77959,77959,77959,77959
true,88926,88926,88926,88926,true,82440,82440,82440,82440,true,82440,82440,82440,82440
true,171045,171045,171045,171045,true,120547,120547,120547,120547,true,120547,120547,120547,120547
true,325512,325512,325512,325512,true,270216,270216,270216,270216,true,270216,270216,270216,270216
true,355025,355025,355025,355025,true,278350,278350,303150,303150,true,278350,278350,278350,278350
true,169839,169839,169839,169839,true,115344,115344,115344,115344,true,115344,115344,115344,115344
true,72420,72420,72420,72420,true,72420,72420,72420,72420,true,72420,72420,72420,72420
true,90738,90738,90738,90738,true,66318,66318,66318,66318,true,65380,65380,65380,65380
true,138930,138930,138930,138930,true,107064,107064,107064,107064,true,107064,107064,107064,107064
true,279566,279566,279566,279566,true,179340,179340,179340,179340,true,142783,142783,142783,142783
true,390924,390924,390924,390924,true,267102,267102,267102,267102,true,267102,267102,267102,267102
true,441072,441072,441072,441072,true,281360,281360,289328,289328,true,201564,201564,201564,201564
true,295164,295164,295164,295164,true,210978,210978,211878,211878,true,175230,175230,175230,175230
true,341368,341368,341368,341368,true,269368,269368,269368,269368,true,269368,269368,269368,269368
true,388263,388263,388263,388263,true,238531,238531,299000,299000,true,221582,221582,221582,221582
true,134944,134944,134944,134944,true,124512,124512,124512,124512,true,124512,124512,124512,124512
true,222992,222992,222992,222992,true,131758,131758,131758,131758,true,99836,99836,99836,99836
true,201824,201824,201824,201824,true,146314,146314,146314,146314,true,146314,146314,146314,146314
true,498360,498360,498360,498360,true,369954,369954,379800,379800,true,268230,268230,268230,268230
true,190184,190184,190184,190184,true,139482,139482,139482,139482,true,139482,139482,139482,139482
true,330912,330912,330912,330912,true,233568,233568,260560,260560,true,199920,199920,199920,199920
true,190542,190542,190542,190542,true,190542,190542,190542,190542,true,190542,190542,190542,190542
true,145584,145584,145584,145584,true,109764,109764,109764,109764,true,109764,109764,109764,109764
true,117691,117691,117691,117691,true,117691,117691,117691,117691,true,117691,117691,117691,117691
true,506232,506232,506232,506232,true,326714,326714,387410,387410,true,326714,326714,326714,326714
true,101076,101076,101076,101076,true,101076,101076,101076,101076,true,101076,101076,101076,101076
true,434452,434452,434452,434452,true,267308,267308,267308,267308,true,188462,188462,188462,188462
true,127674,127674,127674,127674,true,78390,78390,78390,78390,true,78390,78390,78390,78390
true,294842,294842,294842,294842,true,218633,218633,228209,228209,true,218633,218633,218633,218633
true,331296,331296,331296,331296,true,213486,213486,213486,213486,true,213486,213486,213486,213486
true,212952,212952,212952,212952,true,186998,186998,186998,186998,true,186998,186998,186998,186998
true,254652,254652,254652,254652,true,144192,144192,171924,171924,true,144192,144192,144192,144192
true,482516,482516,482516,482516,true,304430,304430,304430,304430,true,271390,271390,271390,271390
true,547750,547750,547750,547750,true,313050,313050,313050,313050,true,313050,313050,313050,313050
true,214968,214968,214968,214968,true,131280,131280,131280,131280,true,131280,131280,131280,131280
true,82134,82134,82134,82134,true,44556,44556,44556,44556,true,44556,44556,44556,44556
true,165246,165246,165246,165246,true,111000,111000,111000,111000,true,111000,111000,111000,111000
true,162876,162876,162876,162876,true,102942,102942,102942,102942,true,102942,102942,102942,102942
true,229721,229721,229721,229721,true,191828,191828,191828,191828,true,191828,191828,191828,191828
true,341660,341660,341660,341660,true,230900,230900,264500,264500,true,194940,194940,194940,194940
true,82131,82131,82131,82131,true,55909,55909,57309,57309,true,51672,51672,51672,51672
true,192863,192863,192863,192863,true,152548,152548,152548,152548,true,152548,152548,152548,152548
true,299728,299728,299728,299728,true,194740,194740,194740,194740,true,194740,194740,194740,194740
true,380608,380608,380608,380608,true,271840,271840,271840,271840,true,179392,179392,179392,179392
true,144096,144096,144096,144096,true,129848,129848,129848,129848,true,129848,129848,129848,129848
true,169140,169140,169140,169140,true,89390,89390,89390,89390,true,89390,89390,89390,89390
true,87056,87056,87056,87056,true,58576,58576,58576,58576,true,58576,58576,58576,58576
true,90875,90875,90875,90875,true,68988,68988,68988,68988,true,68988,68988,68988,68988
true,147294,147294,147294,147294,true,103390,103390,103390,103390,true,103390,103390,103390,103390
true,131750,131750,131750,131750,true,123230,123230,123230,123230,true,123230,123230,123230,123230
true,148134,148134,148134,148134,true,117866,117866,117866,117866,true,117866,117866,117866,117866
true,181398,181398,181398,181398,true,124670,124670,124670,124670,true,124670,124670,124670,124670
true,111008,111008,111008,111008,true,68624,68624,68624,68624,true,68624,68624,68624,68624
