BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5
true,227104,227104,227104,227104,true,142504,142504,144108,144108,true,142168,142168,142168,142168,true,142168,142168,142168,142168,true,142168,142168,142168,142168
true,566769,566769,566769,566769,true,331905,331905,405321,405321,true,262725,263694,280896,280896,true,258531,258531,259665,259665,true,258531,258531,258531,258531
true,237232,237232,237232,237232,true,174528,174528,174528,174528,true,158696,158696,158696,158696,true,158696,158696,158696,158696,true,158696,158696,158696,158696
true,274872,274872,274872,274872,true,226713,226713,242340,242340,true,225960,225960,225960,225960,true,225960,225960,225960,225960,true,225960,225960,225960,225960
true,159250,159250,159250,159250,true,119410,119465,119465,119465,true,83855,83855,83855,83855,true,81370,81370,81370,81370,true,81370,81370,81370,81370
true,221808,221808,221808,221808,true,166116,166116,181824,181824,true,166116,166116,166116,166116,true,166116,166116,166116,166116,true,166116,166116,166116,166116
true,194950,194950,194950,194950,true,166726,166726,166726,166726,true,166726,166726,166726,166726,true,166726,166726,166726,166726,true,166726,166726,166726,166726
true,139790,139790,139790,139790,true,76220,76220,76220,76220,true,76220,76220,76220,76220,true,76220,76220,76220,76220,true,76220,76220,76220,76220
true,711300,711300,711300,711300,true,471930,471930,499531,499531,true,401440,401440,401440,401440,true,401440,401440,401440,401440,true,401440,401440,401440,401440
true,277770,277770,277770,277770,true,160658,160658,183376,183376,true,122604,122604,122604,122604,true,122604,122604,122604,122604,true,122604,122604,122604,122604
true,306456,306456,306456,306456,true,165304,165304,165304,165304,true,147200,147200,147200,147200,true,99977,99977,99977,99977,true,99977,99977,99977,99977
true,526338,526338,526338,526338,true,301440,318042,331701,331701,true,261891,261891,261891,261891,true,261891,261891,261891,261891,true,261891,261891,261891,261891
true,181335,181335,181335,181335,true,116217,116217,123270,123270,true,110589,110589,116217,116217,true,110589,110589,110589,110589,true,110589,110589,110589,110589
true,117024,117024,117024,117024,true,61944,61944,61944,61944,true,61944,61944,61944,61944,true,61944,61944,61944,61944,true,61944,61944,61944,61944
true,693140,693140,693140,693140,true,472340,479069,509705,509705,true,367909,367909,367909,367909,true,367909,367909,367909,367909,true,367909,367909,367909,367909
true,178386,178386,178386,178386,true,118794,118794,126210,126210,true,115069,115069,115069,115069,true,115069,115069,115069,115069,true,115069,115069,115069,115069
true,803330,803330,803330,803330,true,447590,447590,447590,447590,true,372064,372064,378840,378840,true,358225,370685,370685,370685,true,358225,358225,358225,358225
true,325458,325458,325458,325458,true,225648,231066,231066,231066,true,180630,180630,180630,180630,true,180630,180630,180630,180630,true,180630,180630,180630,180630
true,598196,598196,598196,598196,true,374041,374041,404250,404250,true,297626,298112,316642,316642,true,268974,268974,268974,268974,true,268974,268974,268974,268974
true,1192797,1192797,1192797,1192797,true,690875,702716,709590,709590,true,534956,534956,561085,561085,true,507900,507900,507900,507900,true,507900,507900,507900,507900
true,401100,401100,401100,401100,true,290234,290234,290234,290234,true,290234,290234,290234,290234,true,290234,290234,290234,290234,true,290234,290234,290234,290234
true,522045,522045,522045,522045,true,303960,304590,342840,342840,true,235698,235698,246720,246720,true,218295,218295,218295,218295,true,218295,218295,218295,218295
true,155958,155958,155958,155958,true,91260,91260,91260,91260,true,72182,72182,72182,72182,true,72182,72182,72182,72182,true,72182,72182,72182,72182
true,384540,384540,384540,384540,true,210094,219115,219115,219115,true,172640,172640,172640,172640,true,172640,172640,172640,172640,true,172640,172640,172640,172640
true,374742,374742,374742,374742,true,249746,249746,279226,279226,true,223434,223434,246210,246210,true,223434,223434,223434,223434,true,223434,223434,223434,223434
true,378233,378233,378233,378233,true,226822,226822,232584,232584,true,194845,194845,194845,194845,true,194845,194845,194845,194845,true,194845,194845,194845,194845
true,152894,152894,152894,152894,true,82166,82166,97895,97895,true,58086,59115,61707,61707,true,54411,54411,58086,58086,true,54411,54411,54411,54411
true,169332,169332,169332,169332,true,127260,127260,127260,127260,true,127260,127260,127260,127260,true,127260,127260,127260,127260,true,127260,127260,127260,127260
true,327173,327173,327173,327173,true,188408,195183,196438,196438,true,166837,166837,166837,166837,true,166837,166837,166837,166837,true,166837,166837,166837,166837
true,255640,255640,255640,255640,true,132750,132750,132750,132750,true,132750,132750,132750,132750,true,132750,132750,132750,132750,true,132750,132750,132750,132750
true,135438,135438,135438,135438,true,80144,80144,80144,80144,true,77766,77766,77766,77766,true,77766,77766,77766,77766,true,77766,77766,77766,77766
true,132965,132965,132965,132965,true,101180,101180,101180,101180,true,89193,89193,89193,89193,true,89193,89193,89193,89193,true,89193,89193,89193,89193
true,122058,122058,122058,122058,true,96060,96060,106560,106560,true,96060,96060,96060,96060,true,96060,96060,96060,96060,true,96060,96060,96060,96060
true,269493,269493,269493,269493,true,210128,210128,210128,210128,true,181008,181008,181008,181008,true,181008,181008,181008,181008,true,181008,181008,181008,181008
true,945646,945646,945646,945646,true,671554,671554,671554,671554,true,548158,548158,548158,548158,true,513492,513492,513492,513492,true,508578,508578,508578,508578
true,393272,393272,393272,393272,true,262926,262926,312646,312646,true,209939,209939,240530,240530,true,209939,209939,209939,209939,true,209939,209939,209939,209939
true,302104,302104,302104,302104,true,201960,201960,201960,201960,true,201960,201960,201960,201960,true,201960,201960,201960,201960,true,201960,201960,201960,201960
true,527196,527196,527196,527196,true,323340,323340,354188,354188,true,245432,245432,245432,245432,true,208200,211980,211980,211980,true,208200,208200,208200,208200
true,163325,163325,163325,163325,true,128330,128330,128330,128330,true,123250,123250,123250,123250,true,123250,123250,123250,123250,true,123250,123250,123250,123250
true,495326,495326,495326,495326,true,310618,310618,350084,350084,true,287092,287092,290358,290358,true,287092,287092,287092,287092,true,287092,287092,287092,287092
