BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4
true,504288,504288,504288,504288,true,272178,272178,313506,313506,true,245280,245280,270666,270666,true,202068,202068,202068,202068
true,408660,408660,408660,408660,true,253545,253545,306105,306105,true,251835,251835,253545,253545,true,235368,235368,235368,235368
true,269210,269210,269210,269210,true,161414,161414,161414,161414,true,161414,161414,161414,161414,true,161414,161414,161414,161414
true,228048,228048,228048,228048,true,131704,131704,141974,141974,true,126330,126330,126330,126330,true,126330,126330,126330,126330
true,262570,262570,262570,262570,true,199044,199044,213334,213334,true,199044,199044,199044,199044,true,199044,199044,199044,199044
true,160932,160932,160932,160932,true,103872,103872,120952,120952,true,99820,99820,99820,99820,true,99820,99820,99820,99820
true,115710,115710,115710,115710,true,92630,92630,98510,98510,true,92630,92630,92630,92630,true,92630,92630,92630,92630
true,366705,366705,366705,366705,true,221550,221550,221550,221550,true,170391,170391,170391,170391,true,165936,165936,165936,165936
true,333112,333112,333112,333112,true,211679,211679,215384,215384,true,189088,189088,189088,189088,true,189088,189088,189088,189088
true,245532,245532,245532,245532,true,180780,180780,191736,191736,true,180780,180780,180780,180780,true,180780,180780,180780,180780
true,457020,457020,457020,457020,true,373340,373340,404360,404360,true,344148,344148,373340,373340,true,344148,344148,344148,344148
true,76056,76056,76056,76056,true,50586,50586,50586,50586,true,44496,44496,44496,44496,true,44496,44496,44496,44496
true,422136,422136,422136,422136,true,292842,292842,292842,292842,true,252824,252824,252824,252824,true,252824,252824,252824,252824
true,531666,531666,531666,531666,true,424603,424603,424603,424603,true,388315,388315,388315,388315,true,388315,388315,388315,388315
true,214488,214488,214488,214488,true,121338,121338,121338,121338,true,107910,107910,107910,107910,true,107910,107910,107910,107910
true,153657,153657,153657,153657,true,131856,131856,131856,131856,true,131856,131856,131856,131856,true,131856,131856,131856,131856
true,433721,433721,433721,433721,true,309166,309166,309166,309166,true,244511,244511,244511,244511,true,238028,238028,238028,238028
true,119796,119796,119796,119796,true,100038,100038,100038,100038,true,100038,100038,100038,100038,true,100038,100038,100038,100038
true,520812,520812,520812,520812,true,300330,330096,373338,373338,true,228762,228762,231624,231624,true,201663,201663,201663,201663
true,169490,169490,169490,169490,true,96186,96770,96770,96770,true,79430,79430,79430,79430,true,79430,79430,79430,79430
true,339612,339612,339612,339612,true,238840,238840,238840,238840,true,208160,208160,208160,208160,true,168176,168176,168176,168176
true,99645,99645,99645,99645,true,68620,68620,68620,68620,true,68620,68620,68620,68620,true,68620,68620,68620,68620
true,311145,311145,311145,311145,true,300090,300090,300090,300090,true,300090,300090,300090,300090,true,300090,300090,300090,300090
true,751152,751152,751152,751152,true,526698,526845,577200,577200,true,447192,447192,447192,447192,true,447192,447192,447192,447192
true,351305,351305,351305,351305,true,238692,238692,251821,251821,true,184782,186575,186575,186575,true,171644,171644,171644,171644
true,246631,246631,246631,246631,true,174680,174680,192214,192214,true,174680,174680,174680,174680,true,174680,174680,174680,174680
true,246168,246168,246168,246168,true,177876,177876,177876,177876,true,177876,177876,177876,177876,true,177876,177876,177876,177876
true,121530,121530,121530,121530,true,93780,93780,93780,93780,true,93780,93780,93780,93780,true,93780,93780,93780,93780
true,130840,130840,130840,130840,true,106045,106045,106045,106045,true,106045,106045,106045,106045,true,106045,106045,106045,106045
true,249288,249288,249288,249288,true,150024,150024,150024,150024,true,150024,150024,150024,150024,true,150024,150024,150024,150024
true,307071,307071,307071,307071,true,184212,184212,184212,184212,true,184212,184212,184212,184212,true,184212,184212,184212,184212
true,122270,122270,122270,122270,true,76440,76440,78580,78580,true,72255,72255,72255,72255,true,72255,72255,72255,72255
true,389840,389840,389840,389840,true,290811,290811,290811,290811,true,271901,271901,271901,271901,true,271901,271901,271901,271901
true,199474,199474,199474,199474,true,117263,117263,130130,130130,true,109428,109428,109428,109428,true,109428,109428,109428,109428
true,242625,242625,242625,242625,true,219000,219000,219000,219000,true,219000,219000,219000,219000,true,219000,219000,219000,219000
true,256704,256704,256704,256704,true,147194,147194,190928,190928,true,118160,118160,129640,129640,true,95024,95024,95024,95024
true,464784,464784,464784,464784,true,274944,274944,292656,292656,true,251856,251856,251856,251856,true,202720,202720,202720,202720
true,404640,404640,404640,404640,true,289338,289338,289338,289338,true,289338,289338,289338,289338,true,289338,289338,289338,289338
true,493904,493904,493904,493904,true,251088,251088,251088,251088,true,249344,249344,249344,249344,true,163432,163432,163432,163432
true,502280,502280,502280,502280,true,325740,325740,403380,403380,true,281770,281770,325740,325740,true,281770,281770,281770,281770
true,161385,161385,161385,161385,true,129493,129493,129493,129493,true,129493,129493,129493,129493,true,129493,129493,129493,129493
true,244680,244680,244680,244680,true,157974,157974,194970,194970,true,152355,152355,152355,152355,true,152355,152355,152355,152355
true,210366,210366,210366,210366,true,111657,111657,111657,111657,true,88283,88283,104455,104455,true,88283,88283,88283,88283
true,156222,156222,156222,156222,true,97209,97209,108324,108324,true,76491,76491,76491,76491,true,76491,76491,76491,76491
true,619300,619300,619300,619300,true,527085,527085,527085,527085,true,527085,527085,527085,527085,true,527085,527085,527085,527085
true,671327,671327,671327,671327,true,422436,422436,441344,441344,true,340256,360352,360352,360352,true,340256,340256,340256,340256
true,485400,485400,485400,485400,true,305768,308236,309036,309036,true,235425,235425,235425,235425,true,235425,235425,235425,235425
true,300432,300432,300432,300432,true,212310,212310,212310,212310,true,212310,212310,212310,212310,true,212310,212310,212310,212310
true,239022,239022,239022,239022,true,170667,170667,188784,188784,true,165005,165005,165005,165005,true,165005,165005,165005,165005
true,232700,232700,232700,232700,true,145150,145150,147225,147225,true,145150,145150,145150,145150,true,145150,145150,145150,145150
true,973832,973832,973832,973832,true,660011,665799,665799,665799,true,508031,508031,508031,508031,true,502612,502612,502612,502612
true,393882,393882,393882,393882,true,279576,279576,279576,279576,true,268472,268472,268472,268472,true,268472,268472,268472,268472
true,253526,253526,253526,253526,true,167967,167967,185038,185038,true,162428,162428,162428,162428,true,141134,141134,141134,141134
true,86961,86961,86961,86961,true,56784,56784,56784,56784,true,46883,46883,46883,46883,true,46883,46883,46883,46883
true,272512,272512,272512,272512,true,222568,222568,222568,222568,true,222568,222568,222568,222568,true,222568,222568,222568,222568
true,581130,581130,581130,581130,true,360317,360317,400048,400048,true,340736,340736,340736,340736,true,340736,340736,340736,340736
true,180376,180376,180376,180376,true,135944,135944,142680,142680,true,135944,135944,135944,135944,true,135944,135944,135944,135944
true,86640,86640,86640,86640,true,59532,59532,59532,59532,true,59532,59532,59532,59532,true,59532,59532,59532,59532
true,139350,139350,139350,139350,true,114785,114785,114785,114785,true,114785,114785,114785,114785,true,114785,114785,114785,114785
true,325520,325520,325520,325520,true,231985,247190,247190,247190,true,176400,176400,176400,176400,true,176400,176400,176400,176400
true,219296,219296,219296,219296,true,127864,127864,127864,127864,true,96030,96030,96030,96030,true,94787,94787,94787,94787
true,310875,310875,310875,310875,true,202770,202770,202770,202770,true,202770,202770,202770,202770,true,202770,202770,202770,202770
true,208726,208726,208726,208726,true,180614,180614,180614,180614,true,180614,180614,180614,180614,true,180614,180614,180614,180614
true,205824,205824,205824,205824,true,142840,142840,150616,150616,true,99056,99056,99056,99056,true,99056,99056,99056,99056
true,354648,354648,354648,354648,true,211176,211176,211176,211176,true,211176,211176,211176,211176,true,211176,211176,211176,211176
true,248724,248724,248724,248724,true,164340,164340,164340,164340,true,132462,132462,132462,132462,true,132462,132462,132462,132462
true,109910,109910,109910,109910,true,88084,88084,88084,88084,true,88084,88084,88084,88084,true,88084,88084,88084,88084
true,175238,175238,175238,175238,true,154665,154665,154665,154665,true,154665,154665,154665,154665,true,154665,154665,154665,154665
true,192843,192843,192843,192843,true,110250,110250,117551,117551,true,107739,107739,107739,107739,true,107739,107739,107739,107739
true,513812,513812,513812,513812,true,296764,296764,296764,296764,true,296764,296764,296764,296764,true,296764,296764,296764,296764
true,211710,211710,211710,211710,true,163950,163950,166500,166500,true,148876,148876,148876,148876,true,148876,148876,148876,148876
true,260532,260532,260532,260532,true,161448,161448,161448,161448,true,161448,161448,161448,161448,true,161448,161448,161448,161448
true,153215,153215,153215,153215,true,129472,129472,129472,129472,true,129472,129472,129472,129472,true,129472,129472,129472,129472
true,143087,143087,143087,143087,true,137850,137850,137850,137850,true,137850,137850,137850,137850,true,137850,137850,137850,137850
true,246906,246906,246906,246906,true,226089,226089,226089,226089,true,226089,226089,226089,226089,true,226089,226089,226089,226089
true,373133,373133,373133,373133,true,309248,309248,309248,309248,true,309248,309248,309248,309248,true,309248,309248,309248,309248
true,249420,249420,249420,249420,true,136992,136992,136992,136992,true,136992,136992,136992,136992,true,136992,136992,136992,136992
true,682272,682272,682272,682272,true,466279,466279,496413,496413,true,344223,344223,344223,344223,true,344223,344223,344223,344223
true,99490,99490,99490,99490,true,92705,92705,92705,92705,true,92705,92705,92705,92705,true,92705,92705,92705,92705
true,130746,130746,130746,130746,true,67326,67326,67326,67326,true,67326,67326,67326,67326,true,67326,67326,67326,67326
true,292479,292479,292479,292479,true,158196,158196,158196,158196,true,123342,125190,151008,151008,true,113016,113016,113016,113016
true,242973,242973,242973,242973,true,186111,186111,186111,186111,true,186111,186111,186111,186111,true,186111,186111,186111,186111
true,298800,298800,298800,298800,true,216162,216162,216162,216162,true,191010,191010,191010,191010,true,191010,191010,191010,191010
true,335863,335863,335863,335863,true,196042,196042,196042,196042,true,196042,196042,196042,196042,true,196042,196042,196042,196042
true,399152,399152,399152,399152,true,293987,293987,342342,342342,true,293987,293987,293987,293987,true,293987,293987,293987,293987
true,200837,200837,200837,200837,true,146326,146326,161796,161796,true,146326,146326,146326,146326,true,146326,146326,146326,146326
true,272650,272650,272650,272650,true,196908,196908,224680,224680,true,194890,194890,194890,194890,true,194890,194890,194890,194890
true,201344,201344,201344,201344,true,134928,134928,134928,134928,true,134928,134928,134928,134928,true,134928,134928,134928,134928
true,110665,110665,110665,110665,true,110665,110665,110665,110665,true,110665,110665,110665,110665,true,110665,110665,110665,110665
true,128275,128275,128275,128275,true,77458,79436,79996,79996,true,67833,67833,67833,67833,true,67833,67833,67833,67833
true,300190,300190,300190,300190,true,168350,168350,168350,168350,true,154824,157784,163488,163488,true,126348,126348,126348,126348
