BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7,BnB_BnB/8/finished,BnB_BnB/8,BnB_List/8,DP/8,DP_BnB/8
true,434070,434070,434070,434070,true,235160,235160,235160,235160,true,204270,204270,220530,220530,false,187300,187300,187300,187300,false,184046,180570,186105,186105,false,160000,160000,160000,160000,true,160000,160000,160000,160000,true,160000,160000,160000,160000
true,672938,672938,672938,672938,true,363331,390885,405944,405944,false,304335,308520,330204,330204,true,260292,260292,260292,260292,true,260292,260292,260292,260292,true,260292,260292,260292,260292,true,260292,260292,260292,260292,true,260292,260292,260292,260292
true,280272,280272,280272,280272,true,156752,156752,156752,156752,true,150608,150608,150608,150608,true,150608,150608,150608,150608,true,150608,150608,150608,150608,true,150608,150608,150608,150608,true,150608,150608,150608,150608,true,150608,150608,150608,150608
true,207080,207080,207080,207080,true,110705,110705,131559,131559,false,87950,89095,89095,89095,false,69832,70658,71645,71645,false,69832,69832,69832,69832,true,69832,69832,69832,69832,true,69832,69832,69832,69832,true,69832,69832,69832,69832
true,306726,306726,306726,306726,true,192072,192072,192072,192072,true,192072,192072,192072,192072,true,192072,192072,192072,192072,true,192072,192072,192072,192072,true,192072,192072,192072,192072,true,192072,192072,192072,192072,true,192072,192072,192072,192072
true,536382,536382,536382,536382,true,296797,297187,342922,342922,true,212087,232438,272542,272542,false,199232,199232,199232,199232,false,188617,188617,188617,188617,true,188617,188617,188617,188617,true,188617,188617,188617,188617,true,188617,188617,188617,188617
true,398124,398124,398124,398124,true,273091,273091,310608,310608,true,234184,234184,240174,240174,false,225098,225098,234184,234184,true,225098,225098,225098,225098,true,225098,225098,225098,225098,true,225098,225098,225098,225098,true,225098,225098,225098,225098
true,444216,444216,444216,444216,true,238712,238712,238712,238712,true,214864,214864,214864,214864,false,191104,193584,193584,193584,true,185152,185152,185152,185152,true,185152,185152,185152,185152,true,185152,185152,185152,185152,true,185152,185152,185152,185152
true,411900,411900,411900,411900,true,275467,275467,298360,298360,true,207179,213180,236198,236198,false,200842,207179,207179,207179,false,181223,181223,200842,200842,true,178990,178990,178990,178990,true,178990,178990,178990,178990,true,178990,178990,178990,178990
true,311115,311115,311115,311115,true,230795,230795,230795,230795,false,210295,210295,210295,210295,true,194489,194489,194489,194489,true,194489,194489,194489,194489,true,194489,194489,194489,194489,true,194489,194489,194489,194489,true,194489,194489,194489,194489
true,597432,597432,597432,597432,true,340470,358724,378100,378100,true,281764,281764,281764,281764,true,281764,281764,281764,281764,true,281764,281764,281764,281764,true,281764,281764,281764,281764,true,281764,281764,281764,281764,true,281764,281764,281764,281764
true,563768,563768,563768,563768,true,327278,332070,355600,355600,false,255830,255830,256580,256580,false,207830,215456,215456,215456,false,188374,190022,214568,214568,false,152232,152232,152232,152232,true,152232,152232,152232,152232,true,152232,152232,152232,152232
true,224850,224850,224850,224850,true,123370,123370,123370,123370,true,123370,123370,123370,123370,true,123370,123370,123370,123370,true,123370,123370,123370,123370,true,123370,123370,123370,123370,true,123370,123370,123370,123370,true,123370,123370,123370,123370
true,195202,195202,195202,195202,true,98903,98903,98903,98903,true,98903,98903,98903,98903,true,98903,98903,98903,98903,true,98903,98903,98903,98903,true,98903,98903,98903,98903,true,98903,98903,98903,98903,true,98903,98903,98903,98903
true,496212,496212,496212,496212,true,258408,258408,258408,258408,true,224284,224284,253800,253800,true,224284,224284,224284,224284,true,224284,224284,224284,224284,true,224284,224284,224284,224284,true,224284,224284,224284,224284,true,224284,224284,224284,224284
true,374440,374440,374440,374440,true,213147,232254,232254,232254,true,164725,164725,164725,164725,false,149442,153549,158158,158158,true,149442,149442,149442,149442,true,149442,149442,149442,149442,true,149442,149442,149442,149442,true,149442,149442,149442,149442
true,399104,399104,399104,399104,true,292824,292824,322160,322160,true,244920,244920,268072,268072,false,205040,205040,216296,216296,true,205040,205040,205040,205040,true,205040,205040,205040,205040,true,205040,205040,205040,205040,true,205040,205040,205040,205040
true,291861,291861,291861,291861,true,180729,180729,206628,206628,true,162370,162370,166426,166426,true,155586,155586,162370,162370,true,155586,155586,155586,155586,true,155586,155586,155586,155586,true,155586,155586,155586,155586,true,155586,155586,155586,155586
true,422344,422344,422344,422344,true,329720,329720,329720,329720,true,299824,299824,299824,299824,true,295752,295752,295752,295752,true,295752,295752,295752,295752,true,295752,295752,295752,295752,true,295752,295752,295752,295752,true,295752,295752,295752,295752
true,284736,284736,284736,284736,true,218976,218976,218976,218976,true,218976,218976,218976,218976,true,218976,218976,218976,218976,true,218976,218976,218976,218976,true,218976,218976,218976,218976,true,218976,218976,218976,218976,true,218976,218976,218976,218976
true,214530,214530,214530,214530,true,118626,118626,118626,118626,true,97128,97128,97128,97128,true,91206,91206,91206,91206,false,74972,74972,74972,74972,true,74972,74972,74972,74972,true,74972,74972,74972,74972,true,74972,74972,74972,74972
true,450688,450688,450688,450688,true,283076,284088,347838,347838,false,220754,220754,267584,267584,false,186398,186398,200816,200816,true,186398,186398,186398,186398,true,186398,186398,186398,186398,true,186398,186398,186398,186398,true,186398,186398,186398,186398
true,982951,982951,982951,982951,true,540678,554823,631235,631235,false,412522,425218,462564,462564,false,358104,358104,372140,372140,false,340768,340768,359145,359145,true,340768,340768,340768,340768,true,340768,340768,340768,340768,true,340768,340768,340768,340768
true,310429,310429,310429,310429,true,171525,174367,187841,187841,true,128324,133758,148251,148251,false,114681,114681,114681,114681,true,114681,114681,114681,114681,true,114681,114681,114681,114681,true,114681,114681,114681,114681,true,114681,114681,114681,114681
true,261714,261714,261714,261714,true,146792,151344,158064,158064,true,140336,140336,140336,140336,true,140336,140336,140336,140336,true,140336,140336,140336,140336,true,140336,140336,140336,140336,true,140336,140336,140336,140336,true,140336,140336,140336,140336
true,306400,306400,306400,306400,true,162899,164139,187767,187767,true,137574,137574,146068,146068,true,137574,137574,137574,137574,true,137574,137574,137574,137574,true,137574,137574,137574,137574,true,137574,137574,137574,137574,true,137574,137574,137574,137574
true,429156,429156,429156,429156,true,233600,237412,248430,248430,false,189218,184646,202932,202932,false,152316,152316,188442,188442,true,152316,152316,152316,152316,true,152316,152316,152316,152316,true,152316,152316,152316,152316,true,152316,152316,152316,152316
true,522804,522804,522804,522804,true,292110,295566,295932,295932,false,227052,227052,240336,240336,false,195867,199188,205380,205380,false,186768,188238,191608,191608,false,174378,186768,186768,186768,true,174378,174378,174378,174378,true,174378,174378,174378,174378
true,1051362,1051362,1051362,1051362,true,552834,552834,647292,647292,false,396324,405468,457740,457740,false,336564,343638,353106,353106,true,336564,336564,336564,336564,true,336564,336564,336564,336564,true,336564,336564,336564,336564,true,336564,336564,336564,336564
true,795986,795986,795986,795986,true,471485,471485,540778,540778,false,381538,382850,446299,446299,false,350313,350313,360202,360202,true,337811,337811,337811,337811,true,337811,337811,337811,337811,true,337811,337811,337811,337811,true,337811,337811,337811,337811
true,1036450,1036450,1036450,1036450,true,554042,555815,611836,611836,false,396625,405834,425962,425962,false,335033,331817,375231,375231,false,282891,282891,282891,282891,false,257307,260660,274633,274633,false,250375,250375,250375,250375,true,250375,250375,250375,250375
true,278988,278988,278988,278988,true,154421,158762,170400,170400,false,119869,119869,137781,137781,false,107226,97900,115690,115690,true,95673,95673,95775,95775,true,95673,95673,95673,95673,true,95673,95673,95673,95673,true,95673,95673,95673,95673
true,237190,237190,237190,237190,true,140020,140020,140020,140020,true,137550,137550,137550,137550,true,137550,137550,137550,137550,true,137550,137550,137550,137550,true,137550,137550,137550,137550,true,137550,137550,137550,137550,true,137550,137550,137550,137550
true,268128,268128,268128,268128,true,178920,186552,199698,199698,true,155364,155364,155364,155364,true,155364,155364,155364,155364,true,155364,155364,155364,155364,true,155364,155364,155364,155364,true,155364,155364,155364,155364,true,155364,155364,155364,155364
true,577269,577269,577269,577269,true,314208,314208,327432,327432,false,226152,221969,267272,267272,false,174604,174604,190080,190080,false,161364,163736,184460,184460,false,149052,137889,161364,161364,true,135531,135531,137676,137676,true,135531,135531,135531,135531
true,279318,279318,279318,279318,true,227724,227724,250482,250482,true,227374,227374,229950,229950,true,227374,227374,227374,227374,true,227374,227374,227374,227374,true,227374,227374,227374,227374,true,227374,227374,227374,227374,true,227374,227374,227374,227374
