BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1
true,50460,50460,50460,50460
true,233280,233280,233280,233280
true,104688,104688,104688,104688
true,220728,220728,220728,220728
true,219914,219914,219914,219914
true,324819,324819,324819,324819
true,197784,197784,197784,197784
true,38790,38790,38790,38790
true,170118,170118,170118,170118
true,113652,113652,113652,113652
true,131040,131040,131040,131040
true,98460,98460,98460,98460
true,28152,28152,28152,28152
true,38166,38166,38166,38166
true,118176,118176,118176,118176
true,268398,268398,268398,268398
true,76736,76736,76736,76736
true,34980,34980,34980,34980
true,126744,126744,126744,126744
true,176130,176130,176130,176130
true,33600,33600,33600,33600
true,54105,54105,54105,54105
true,53838,53838,53838,53838
true,151878,151878,151878,151878
true,199826,199826,199826,199826
true,172132,172132,172132,172132
true,20268,20268,20268,20268
true,96645,96645,96645,96645
true,44976,44976,44976,44976
true,84800,84800,84800,84800
true,84318,84318,84318,84318
true,12089,12089,12089,12089
true,54929,54929,54929,54929
true,23700,23700,23700,23700
true,48380,48380,48380,48380
true,89635,89635,89635,89635
true,75033,75033,75033,75033
true,15680,15680,15680,15680
true,63639,63639,63639,63639
true,249525,249525,249525,249525
true,85950,85950,85950,85950
true,23280,23280,23280,23280
true,272636,272636,272636,272636
true,31504,31504,31504,31504
true,194560,194560,194560,194560
true,32697,32697,32697,32697
true,67496,67496,67496,67496
true,115644,115644,115644,115644
true,70020,70020,70020,70020
true,45365,45365,45365,45365
true,80820,80820,80820,80820
true,50960,50960,50960,50960
true,44748,44748,44748,44748
true,252600,252600,252600,252600
true,44604,44604,44604,44604
true,386274,386274,386274,386274
true,59836,59836,59836,59836
true,187960,187960,187960,187960
true,26058,26058,26058,26058
true,36690,36690,36690,36690
true,16740,16740,16740,16740
true,146784,146784,146784,146784
true,49376,49376,49376,49376
true,140400,140400,140400,140400
true,124792,124792,124792,124792
true,13915,13915,13915,13915
true,52806,52806,52806,52806
true,12900,12900,12900,12900
true,176157,176157,176157,176157
true,47978,47978,47978,47978
true,41136,41136,41136,41136
true,191532,191532,191532,191532
true,73000,73000,73000,73000
true,34958,34958,34958,34958
true,45115,45115,45115,45115
true,146001,146001,146001,146001
true,50028,50028,50028,50028
true,283880,283880,283880,283880
true,284220,284220,284220,284220
true,66976,66976,66976,66976
true,351936,351936,351936,351936
true,67890,67890,67890,67890
true,82150,82150,82150,82150
true,315499,315499,315499,315499
true,20585,20585,20585,20585
true,108376,108376,108376,108376
true,26130,26130,26130,26130
true,67935,67935,67935,67935
true,198175,198175,198175,198175
true,78960,78960,78960,78960
true,20251,20251,20251,20251
true,46765,46765,46765,46765
true,94514,94514,94514,94514
true,34376,34376,34376,34376
true,83088,83088,83088,83088
true,72936,72936,72936,72936
true,154857,154857,154857,154857
true,80505,80505,80505,80505
true,133992,133992,133992,133992
true,26885,26885,26885,26885
true,131031,131031,131031,131031
true,90636,90636,90636,90636
true,233766,233766,233766,233766
true,53112,53112,53112,53112
true,237286,237286,237286,237286
true,116850,116850,116850,116850
true,34132,34132,34132,34132
true,28080,28080,28080,28080
true,68400,68400,68400,68400
true,216904,216904,216904,216904
true,36300,36300,36300,36300
true,26961,26961,26961,26961
true,40392,40392,40392,40392
true,242564,242564,242564,242564
true,204660,204660,204660,204660
true,29899,29899,29899,29899
true,55320,55320,55320,55320
true,167265,167265,167265,167265
true,265272,265272,265272,265272
true,16380,16380,16380,16380
true,166992,166992,166992,166992
true,65696,65696,65696,65696
true,52830,52830,52830,52830
true,34655,34655,34655,34655
true,64380,64380,64380,64380
true,31104,31104,31104,31104
true,172796,172796,172796,172796
true,430468,430468,430468,430468
true,95797,95797,95797,95797
true,19490,19490,19490,19490
true,76104,76104,76104,76104
true,128048,128048,128048,128048
true,196945,196945,196945,196945
