BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6
true,320220,320220,320220,320220,true,215040,215040,233710,233710,true,212542,212542,215040,215040,true,212542,212542,212542,212542,true,212542,212542,212542,212542,true,212542,212542,212542,212542
true,341832,341832,341832,341832,true,188912,202328,209416,209416,true,147760,147760,147760,147760,true,147760,147760,147760,147760,true,147760,147760,147760,147760,true,147760,147760,147760,147760
true,454641,454641,454641,454641,true,293155,296310,296868,296868,true,239481,258111,258111,258111,true,219691,219691,219691,219691,true,219691,219691,219691,219691,true,219691,219691,219691,219691
true,260436,260436,260436,260436,true,157208,157208,201388,201388,true,143968,143968,143968,143968,true,143968,143968,143968,143968,true,143968,143968,143968,143968,true,143968,143968,143968,143968
true,429132,429132,429132,429132,true,290492,290492,326282,326282,true,263714,263714,263714,263714,true,263714,263714,263714,263714,true,263714,263714,263714,263714,true,263714,263714,263714,263714
true,280827,280827,280827,280827,true,175373,175373,176946,176946,true,175373,175373,175373,175373,true,175373,175373,175373,175373,true,175373,175373,175373,175373,true,175373,175373,175373,175373
true,697547,697547,697547,697547,true,393445,393445,449483,449483,true,297920,297920,307003,307003,true,249690,249690,275614,275614,true,249690,249690,249690,249690,true,249690,249690,249690,249690
true,405132,405132,405132,405132,true,262140,269964,277092,277092,true,213532,221868,237660,237660,true,210724,210724,210724,210724,true,210724,210724,210724,210724,true,210724,210724,210724,210724
true,770330,770330,770330,770330,true,451074,464652,527670,527670,true,328196,328196,328196,328196,true,308487,308487,308487,308487,true,276094,284350,293615,293615,true,276094,276094,276094,276094
true,138680,138680,138680,138680,true,86775,86775,86775,86775,true,86450,86450,86450,86450,true,86450,86450,86450,86450,true,86450,86450,86450,86450,true,86450,86450,86450,86450
true,446205,446205,446205,446205,true,307080,307080,307080,307080,true,307080,307080,307080,307080,true,307080,307080,307080,307080,true,307080,307080,307080,307080,true,307080,307080,307080,307080
true,212415,212415,212415,212415,true,119505,119505,119505,119505,true,112210,112210,112210,112210,true,112210,112210,112210,112210,true,112210,112210,112210,112210,true,112210,112210,112210,112210
true,399938,399938,399938,399938,true,262150,262150,262150,262150,true,226422,226422,226527,226527,true,197840,197840,203896,203896,true,197133,197133,197133,197133,true,197133,197133,197133,197133
true,196104,196104,196104,196104,true,140120,140120,157968,157968,true,119790,119790,129210,129210,true,119790,119790,119790,119790,true,119790,119790,119790,119790,true,119790,119790,119790,119790
true,268786,268786,268786,268786,true,138089,139363,162363,162363,true,96502,97727,97727,97727,true,94472,96502,96502,96502,false,88872,88872,88872,88872,true,78729,78729,78729,78729
true,358380,358380,358380,358380,true,210888,210888,250533,250533,true,175359,175359,178569,178569,true,151244,151244,175359,175359,true,151244,151244,151244,151244,true,151244,151244,151244,151244
true,231688,231688,231688,231688,true,159572,159572,174932,174932,true,139072,139072,148184,148184,true,139072,139072,139072,139072,true,139072,139072,139072,139072,true,139072,139072,139072,139072
true,213450,213450,213450,213450,true,156390,156390,182535,182535,true,156390,156390,156390,156390,true,156390,156390,156390,156390,true,156390,156390,156390,156390,true,156390,156390,156390,156390
true,219488,219488,219488,219488,true,133360,137827,148776,148776,true,103571,103571,103571,103571,true,103571,103571,103571,103571,true,103571,103571,103571,103571,true,103571,103571,103571,103571
true,404652,404652,404652,404652,true,233148,236172,253719,253719,true,172932,180810,192390,192390,true,151830,152916,155601,155601,true,151830,151830,151830,151830,true,151830,151830,151830,151830
true,331199,331199,331199,331199,true,223333,223333,227189,227189,true,177061,182340,186903,186903,true,177061,177061,177061,177061,true,177061,177061,177061,177061,true,177061,177061,177061,177061
true,443003,443003,443003,443003,true,284504,284504,300844,300844,true,223678,223678,270223,270223,true,223678,223678,223678,223678,true,223678,223678,223678,223678,true,223678,223678,223678,223678
true,478555,478555,478555,478555,true,320980,320980,320980,320980,true,289440,289440,289440,289440,true,289440,289440,289440,289440,true,289440,289440,289440,289440,true,289440,289440,289440,289440
true,417395,417395,417395,417395,true,237622,237622,244068,244068,true,187363,187363,187363,187363,true,187363,187363,187363,187363,true,187363,187363,187363,187363,true,187363,187363,187363,187363
true,257418,257418,257418,257418,true,187180,187180,218491,218491,true,149204,149204,180515,180515,true,149204,149204,149204,149204,true,149204,149204,149204,149204,true,149204,149204,149204,149204
true,576283,576283,576283,576283,true,313242,316982,313854,313854,true,233767,233767,263109,263109,true,193747,193747,194632,194632,true,190570,190570,190570,190570,true,190570,190570,190570,190570
true,458676,458676,458676,458676,true,310276,313732,353712,353712,true,279384,279384,302040,302040,true,279384,279384,279384,279384,true,279384,279384,279384,279384,true,279384,279384,279384,279384
true,575671,575671,575671,575671,true,349809,349809,349809,349809,true,306040,306040,306040,306040,true,306040,306040,306040,306040,true,306040,306040,306040,306040,true,306040,306040,306040,306040
true,209736,209736,209736,209736,true,166992,166992,173076,173076,true,166992,166992,166992,166992,true,166992,166992,166992,166992,true,166992,166992,166992,166992,true,166992,166992,166992,166992
true,414557,414557,414557,414557,true,325139,325139,336830,336830,true,268827,268827,268827,268827,true,257792,257792,257792,257792,true,257792,257792,257792,257792,true,257792,257792,257792,257792
true,655633,655633,655633,655633,true,351758,351758,388664,388664,true,272046,272046,285779,285779,true,218870,218870,218870,218870,true,218870,218870,218870,218870,true,218870,218870,218870,218870
true,181565,181565,181565,181565,true,103022,103022,114335,114335,true,79730,80190,81336,81336,true,69545,69545,69545,69545,true,62838,62838,62838,62838,true,62838,62838,62838,62838
true,294196,294196,294196,294196,true,164241,164241,173240,173240,true,147225,147225,147585,147585,true,147225,147225,147225,147225,true,147225,147225,147225,147225,true,147225,147225,147225,147225
true,412113,412113,412113,412113,true,252110,252110,252110,252110,true,211819,211819,228293,228293,true,192214,192214,211819,211819,true,192214,192214,192214,192214,true,192214,192214,192214,192214
true,305256,305256,305256,305256,true,283456,283456,283456,283456,true,283456,283456,283456,283456,true,283456,283456,283456,283456,true,283456,283456,283456,283456,true,283456,283456,283456,283456
true,578800,578800,578800,578800,true,352462,352462,417205,417205,true,272800,278039,300380,300380,true,261350,261350,261350,261350,true,261350,261350,261350,261350,true,261350,261350,261350,261350
true,284224,284224,284224,284224,true,199752,199752,199752,199752,true,191724,191724,191724,191724,true,191724,191724,191724,191724,true,191724,191724,191724,191724,true,191724,191724,191724,191724
true,323410,323410,323410,323410,true,224830,224830,224830,224830,true,162500,162500,162500,162500,true,162500,162500,162500,162500,true,162500,162500,162500,162500,true,162500,162500,162500,162500
true,203900,203900,203900,203900,true,171621,171621,171621,171621,true,170844,170844,170844,170844,true,170844,170844,170844,170844,true,170844,170844,170844,170844,true,170844,170844,170844,170844
true,197544,197544,197544,197544,true,126189,130929,146268,146268,true,95964,95964,95964,95964,true,95964,95964,95964,95964,true,95964,95964,95964,95964,true,95964,95964,95964,95964
true,204659,204659,204659,204659,true,129129,129129,149303,149303,true,129129,129129,129129,129129,true,129129,129129,129129,129129,true,129129,129129,129129,129129,true,129129,129129,129129,129129
true,204399,204399,204399,204399,true,111744,111744,125902,125902,true,87100,88125,87416,87416,true,87100,87100,87100,87100,true,87100,87100,87100,87100,true,87100,87100,87100,87100
true,185715,185715,185715,185715,true,140240,140240,140240,140240,true,140240,140240,140240,140240,true,140240,140240,140240,140240,true,140240,140240,140240,140240,true,140240,140240,140240,140240
true,276720,276720,276720,276720,true,156800,156800,156800,156800,true,151840,151840,151840,151840,true,151840,151840,151840,151840,true,151840,151840,151840,151840,true,151840,151840,151840,151840
true,190158,190158,190158,190158,true,100104,100104,100104,100104,true,100104,100104,100104,100104,true,100104,100104,100104,100104,true,100104,100104,100104,100104,true,100104,100104,100104,100104
true,277808,277808,277808,277808,true,203656,214571,218571,218571,true,171563,171563,171563,171563,true,171563,171563,171563,171563,true,171563,171563,171563,171563,true,171563,171563,171563,171563
true,242669,242669,242669,242669,true,182070,182070,188272,188272,true,182070,182070,182070,182070,true,182070,182070,182070,182070,true,182070,182070,182070,182070,true,182070,182070,182070,182070
true,176845,176845,176845,176845,true,99165,99165,99165,99165,true,99165,99165,99165,99165,true,99165,99165,99165,99165,true,99165,99165,99165,99165,true,99165,99165,99165,99165
true,637075,637075,637075,637075,true,411723,411723,412097,412097,true,411723,411723,411723,411723,true,411723,411723,411723,411723,true,411723,411723,411723,411723,true,411723,411723,411723,411723
true,428028,428028,428028,428028,true,316296,316296,335292,335292,true,245220,245220,273180,273180,true,219432,222477,226308,226308,true,217440,217440,217440,217440,true,217440,217440,217440,217440
true,406284,406284,406284,406284,true,288516,288516,295701,295701,true,275970,275970,285558,285558,true,275970,275970,275970,275970,true,275970,275970,275970,275970,true,275970,275970,275970,275970
