BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7
true,188538,188538,188538,188538,true,120750,120750,147709,147709,true,107550,107550,114439,114439,true,107550,107550,107550,107550,true,107550,107550,107550,107550,true,107550,107550,107550,107550,true,107550,107550,107550,107550
true,376008,376008,376008,376008,true,215220,215220,238500,238500,true,201785,201785,212336,212336,true,201785,201785,201785,201785,true,201785,201785,201785,201785,true,201785,201785,201785,201785,true,201785,201785,201785,201785
true,234858,234858,234858,234858,true,123522,123522,123522,123522,true,105498,106072,116334,116334,true,105498,105498,107964,107964,true,105498,105498,105498,105498,true,105498,105498,105498,105498,true,105498,105498,105498,105498
true,318663,318663,318663,318663,true,175384,175384,175780,175780,true,149166,149166,168521,168521,true,146906,146906,150698,150698,true,146906,146906,146906,146906,true,146906,146906,146906,146906,true,146906,146906,146906,146906
true,261065,261065,261065,261065,true,153713,153713,153713,153713,true,153713,153713,153713,153713,true,153713,153713,153713,153713,true,153713,153713,153713,153713,true,153713,153713,153713,153713,true,153713,153713,153713,153713
true,167430,167430,167430,167430,true,147950,147950,153235,153235,true,147950,147950,147950,147950,true,147950,147950,147950,147950,true,147950,147950,147950,147950,true,147950,147950,147950,147950,true,147950,147950,147950,147950
true,398331,398331,398331,398331,true,229264,234214,271215,271215,true,200815,200815,216324,216324,true,200815,200815,200815,200815,true,200815,200815,200815,200815,true,200815,200815,200815,200815,true,200815,200815,200815,200815
true,197748,197748,197748,197748,true,170820,170820,170820,170820,true,152526,152526,152526,152526,false,143088,143088,143088,143088,true,143088,143088,143088,143088,true,143088,143088,143088,143088,true,143088,143088,143088,143088
true,206335,206335,206335,206335,true,115012,120682,136585,136585,true,92668,92668,92820,92820,true,87377,87377,92668,92668,true,87377,87377,87377,87377,true,87377,87377,87377,87377,true,87377,87377,87377,87377
true,412011,412011,412011,412011,true,213750,213750,213750,213750,true,203013,203013,203013,203013,true,174825,174825,174825,174825,true,174825,174825,174825,174825,true,174825,174825,174825,174825,true,174825,174825,174825,174825
true,296890,296890,296890,296890,true,187070,187070,206590,206590,true,152325,152325,171845,171845,true,152325,152325,152325,152325,true,152325,152325,152325,152325,true,152325,152325,152325,152325,true,152325,152325,152325,152325
true,222000,222000,222000,222000,true,140704,140704,167824,167824,true,111440,111440,120016,120016,true,111020,111020,111020,111020,true,111020,111020,111020,111020,true,111020,111020,111020,111020,true,111020,111020,111020,111020
true,258531,258531,258531,258531,true,171115,171115,171115,171115,true,154902,154902,154902,154902,true,154902,154902,154902,154902,true,154902,154902,154902,154902,true,154902,154902,154902,154902,true,154902,154902,154902,154902
true,217836,217836,217836,217836,true,210212,210212,211434,211434,true,207588,207588,207588,207588,true,207588,207588,207588,207588,true,207588,207588,207588,207588,true,207588,207588,207588,207588,true,207588,207588,207588,207588
true,228402,228402,228402,228402,true,123300,123300,123300,123300,true,123300,123300,123300,123300,true,123300,123300,123300,123300,true,123300,123300,123300,123300,true,123300,123300,123300,123300,true,123300,123300,123300,123300
true,226190,226190,226190,226190,true,183205,183205,183205,183205,true,183205,183205,183205,183205,true,183205,183205,183205,183205,true,183205,183205,183205,183205,true,183205,183205,183205,183205,true,183205,183205,183205,183205
true,274800,274800,274800,274800,true,174224,174224,193992,193992,true,156328,156328,178106,178106,true,156328,156328,163578,163578,true,156328,156328,156328,156328,true,156328,156328,156328,156328,true,156328,156328,156328,156328
true,313432,313432,313432,313432,true,214948,214948,225768,225768,true,183616,183616,203296,203296,true,183616,183616,183616,183616,true,183616,183616,183616,183616,true,183616,183616,183616,183616,true,183616,183616,183616,183616
true,629166,629166,629166,629166,true,378158,378158,383960,383960,true,286152,286152,315326,315326,true,276264,276264,276264,276264,true,276264,276264,276264,276264,true,276264,276264,276264,276264,true,276264,276264,276264,276264
true,577929,577929,577929,577929,true,310134,314314,351609,351609,true,230174,241659,265265,265265,true,190663,206063,206063,206063,true,166815,166815,166815,166815,true,166815,166815,166815,166815,true,166815,166815,166815,166815
true,521482,521482,521482,521482,true,279682,279682,279682,279682,true,210352,210352,251992,251992,false,180956,180956,209656,209656,true,180956,180956,188025,188025,true,180956,180956,180956,180956,true,180956,180956,180956,180956
true,220290,220290,220290,220290,true,138290,139398,145278,145278,true,118914,118914,118914,118914,true,118914,118914,118914,118914,true,118914,118914,118914,118914,true,118914,118914,118914,118914,true,118914,118914,118914,118914
true,268912,268912,268912,268912,true,182864,182864,205720,205720,true,156416,156416,179272,179272,false,146800,146800,156416,156416,true,146800,146800,146800,146800,true,146800,146800,146800,146800,true,146800,146800,146800,146800
true,296352,296352,296352,296352,true,193007,196291,208072,208072,true,156559,156559,156559,156559,true,156559,156559,156559,156559,true,156559,156559,156559,156559,true,156559,156559,156559,156559,true,156559,156559,156559,156559
true,249824,249824,249824,249824,true,146737,148368,171232,171232,false,110965,112576,129596,129596,false,92256,93064,106796,106796,true,92256,92256,92256,92256,true,92256,92256,92256,92256,true,92256,92256,92256,92256
true,244458,244458,244458,244458,true,161682,161682,161682,161682,true,161682,161682,161682,161682,true,161682,161682,161682,161682,true,161682,161682,161682,161682,true,161682,161682,161682,161682,true,161682,161682,161682,161682
true,437340,437340,437340,437340,true,253440,253440,253440,253440,true,253440,253440,253440,253440,true,253440,253440,253440,253440,true,253440,253440,253440,253440,true,253440,253440,253440,253440,true,253440,253440,253440,253440
true,176900,176900,176900,176900,true,139300,139300,139300,139300,true,117550,118103,118360,118360,true,116975,116975,116975,116975,true,116975,116975,116975,116975,true,116975,116975,116975,116975,true,116975,116975,116975,116975
true,316225,316225,316225,316225,true,193823,195027,195027,195027,true,183953,183953,183953,183953,true,183953,183953,183953,183953,true,183953,183953,183953,183953,true,183953,183953,183953,183953,true,183953,183953,183953,183953
true,292005,292005,292005,292005,true,167356,167356,187642,187642,true,141010,141010,141010,141010,true,141010,141010,141010,141010,true,141010,141010,141010,141010,true,141010,141010,141010,141010,true,141010,141010,141010,141010
true,310877,310877,310877,310877,true,159334,159334,159334,159334,true,136507,138404,153156,153156,true,116998,116998,116998,116998,true,116998,116998,116998,116998,true,116998,116998,116998,116998,true,116998,116998,116998,116998
true,317100,317100,317100,317100,true,189310,191070,200310,200310,true,138435,139560,148698,148698,true,138435,138435,138435,138435,true,138435,138435,138435,138435,true,138435,138435,138435,138435,true,138435,138435,138435,138435
true,185005,185005,185005,185005,true,94055,99390,108738,108738,true,71000,71000,71000,71000,true,71000,71000,71000,71000,true,71000,71000,71000,71000,true,71000,71000,71000,71000,true,71000,71000,71000,71000
true,632710,632710,632710,632710,true,336966,344204,344526,344526,true,261324,261324,302289,302289,false,227215,233065,261324,261324,false,205283,205283,224523,224523,false,205120,205120,205120,205120,true,205120,205120,205120,205120
